Draw Date,Regular Numbers,,,,,,,Bonus
14th May 2021,3,18,19,24,26,27,45,20
11th May 2021,14,15,20,32,35,38,50,46
7th May 2021,1,8,17,21,35,39,46,31
4th May 2021,1,23,27,33,39,45,49,40
30th April 2021,2,14,27,30,31,35,43,38
27th April 2021,7,11,14,26,27,29,36,2
23rd April 2021,1,3,4,11,19,24,42,27
20th April 2021,7,10,11,19,22,30,37,18
16th April 2021,1,13,19,27,42,49,50,32
13th April 2021,15,16,18,19,22,44,47,28
9th April 2021,1,19,28,29,31,33,43,17
6th April 2021,2,14,24,25,35,44,45,11
2nd April 2021,30,32,33,34,37,45,49,25
30th March 2021,12,22,25,30,37,38,45,2
26th March 2021,2,4,16,24,25,27,49,29
23rd March 2021,5,6,12,28,29,36,46,40
19th March 2021,2,7,8,26,30,43,48,25
16th March 2021,8,15,25,27,33,39,44,20
12th March 2021,5,12,15,23,28,38,39,46
9th March 2021,3,7,16,22,29,31,42,15
5th March 2021,6,9,23,25,31,36,48,30
2nd March 2021,9,29,30,36,42,46,49,47
26th February 2021,11,17,19,22,27,31,40,38
23rd February 2021,3,13,14,20,30,45,49,35
19th February 2021,1,5,10,18,20,40,42,47
16th February 2021,1,6,12,21,34,37,47,20
12th February 2021,2,5,10,11,14,23,33,47
9th February 2021,4,12,16,17,33,36,44,2
5th February 2021,1,2,23,32,35,36,45,28
2nd February 2021,17,24,27,34,38,42,48,19
29th January 2021,9,11,20,22,33,36,46,49
26th January 2021,26,37,42,44,46,49,50,24
22nd January 2021,11,21,23,25,28,41,43,10
19th January 2021,23,31,34,38,40,45,50,41
15th January 2021,5,23,31,35,36,37,43,13
12th January 2021,4,12,13,15,18,30,50,34
8th January 2021,4,21,24,25,26,27,42,8
5th January 2021,1,16,21,24,35,37,39,45
1st January 2021,18,21,28,29,31,32,49,38
29th December 2020,8,12,23,25,29,43,46,13
25th December 2020,8,12,16,30,38,48,50,14
22nd December 2020,4,29,30,37,38,43,44,15
18th December 2020,2,9,10,22,31,35,49,30
15th December 2020,1,4,20,33,44,45,49,47
11th December 2020,9,21,30,33,38,39,46,48
8th December 2020,5,13,14,21,36,37,43,40
4th December 2020,5,7,14,23,24,46,47,11
1st December 2020,1,4,9,15,18,24,31,43
27th November 2020,9,15,35,41,42,45,46,43
24th November 2020,6,8,13,27,41,46,47,39
20th November 2020,11,17,29,33,39,40,42,48
17th November 2020,6,18,21,30,31,34,38,1
13th November 2020,3,4,7,19,44,48,49,8
10th November 2020,4,6,18,27,28,30,40,13
6th November 2020,7,9,19,20,26,32,35,49
3rd November 2020,5,7,14,21,26,34,49,31
30th October 2020,19,20,23,31,37,46,48,50
27th October 2020,2,9,11,29,33,39,44,15
23rd October 2020,2,8,20,21,29,34,37,41
20th October 2020,8,27,30,44,46,47,50,32
16th October 2020,1,4,8,10,12,17,41,19
13th October 2020,3,10,13,19,21,45,49,12
9th October 2020,4,6,12,30,32,33,34,29
6th October 2020,4,5,9,19,28,34,44,8
2nd October 2020,7,12,16,26,40,45,49,20
29th September 2020,4,6,9,15,22,24,28,44
25th September 2020,1,7,9,28,38,48,50,13
22nd September 2020,8,9,37,38,40,43,49,28
18th September 2020,2,11,22,25,32,40,44,27
15th September 2020,1,5,6,24,27,28,32,38
11th September 2020,4,15,16,17,35,46,50,13
8th September 2020,6,12,19,27,30,32,44,18
4th September 2020,7,18,22,26,35,41,50,11
1st September 2020,2,9,29,30,31,35,37,19
28th August 2020,5,8,9,28,32,48,50,40
25th August 2020,1,21,34,38,39,40,46,24
21st August 2020,1,2,5,11,20,30,39,27
18th August 2020,1,2,16,32,44,46,50,6
14th August 2020,3,22,37,39,41,43,44,20
11th August 2020,9,17,22,33,36,45,46,41
7th August 2020,9,21,26,28,30,37,44,31
4th August 2020,18,24,25,30,31,33,48,27
31st July 2020,8,16,19,22,28,31,38,25
28th July 2020,7,10,11,24,39,43,48,23
24th July 2020,17,20,27,29,37,39,41,10
21st July 2020,7,22,26,35,46,47,49,19
17th July 2020,5,11,15,18,20,24,46,37
14th July 2020,3,9,21,35,44,47,48,23
10th July 2020,17,18,27,38,39,40,47,24
7th July 2020,9,20,21,22,25,26,37,3
3rd July 2020,3,4,21,33,38,44,45,32
30th June 2020,11,12,22,33,37,48,49,41
26th June 2020,8,14,31,36,39,46,47,20
23rd June 2020,2,3,6,13,37,42,46,19
19th June 2020,3,12,17,22,29,31,48,8
16th June 2020,1,3,22,30,31,37,40,6
12th June 2020,1,16,24,28,30,31,47,25
5th June 2020,1,8,15,16,32,39,40,31
29th May 2020,5,12,15,23,26,38,41,45
22nd May 2020,9,11,14,21,22,24,41,10
15th May 2020,7,30,32,40,47,48,50,16
8th May 2020,3,4,10,11,26,28,40,31
1st May 2020,3,12,25,36,37,42,49,9
24th April 2020,8,9,19,26,27,31,46,48
17th April 2020,2,15,21,29,40,47,50,35
10th April 2020,3,9,10,14,15,19,20,25
3rd April 2020,5,9,10,25,27,29,38,31
31st March 2020,5,7,22,29,32,37,39,3
20th March 2020,9,16,17,18,21,22,27,31
13th March 2020,7,14,15,35,36,49,50,11
6th March 2020,2,9,10,35,41,42,47,40
28th February 2020,21,27,30,32,33,36,46,38
21st February 2020,4,7,14,37,48,49,50,28
14th February 2020,14,17,20,34,38,45,49,5
7th February 2020,21,24,26,31,36,48,49,39
31st January 2020,2,27,30,39,44,45,49,17
24th January 2020,2,11,14,21,23,34,36,5
17th January 2020,5,6,36,39,40,46,48,34
10th January 2020,10,13,14,24,28,47,48,12
3rd January 2020,8,18,20,24,31,37,39,34
27th December 2019,13,27,34,36,38,45,50,18
20th December 2019,14,23,28,29,30,33,48,9
13th December 2019,2,12,14,15,26,34,39,48
6th December 2019,9,11,17,19,35,36,43,28
29th November 2019,3,8,14,15,24,33,48,4
22nd November 2019,5,9,23,29,30,31,37,34
15th November 2019,15,16,33,36,38,43,49,4
8th November 2019,3,5,10,18,26,33,46,49
1st November 2019,10,20,24,25,32,39,46,15
25th October 2019,6,11,16,18,23,26,40,45
18th October 2019,3,21,29,37,40,43,44,38
11th October 2019,1,3,11,13,19,22,46,31
4th October 2019,20,31,35,36,39,42,44,23
27th September 2019,3,9,25,26,28,34,38,36
20th September 2019,9,15,26,36,39,41,47,37
13th September 2019,4,16,21,32,44,45,50,26
6th September 2019,4,5,24,25,43,44,50,41
30th August 2019,5,9,33,36,39,41,44,27
23rd August 2019,5,6,8,15,22,46,47,31
16th August 2019,22,24,25,26,29,32,46,20
9th August 2019,10,25,31,34,36,39,45,9
2nd August 2019,11,20,23,24,26,41,44,38
26th July 2019,11,15,17,20,24,25,50,30
19th July 2019,1,15,21,29,30,31,33,5
12th July 2019,3,13,19,25,28,30,37,1
5th July 2019,1,4,8,28,32,36,43,40
28th June 2019,7,11,36,37,38,43,46,26
21st June 2019,11,16,17,20,42,44,50,31
14th June 2019,4,11,20,22,37,44,49,13
7th June 2019,4,8,13,23,25,33,39,17
31st May 2019,6,29,34,39,42,47,50,22
24th May 2019,9,11,15,19,20,35,41,28
17th May 2019,4,21,23,39,40,42,50,17
10th May 2019,16,17,31,34,36,39,41,10
3rd May 2019,2,3,5,12,21,22,37,19
26th April 2019,9,17,21,23,36,41,48,12
19th April 2019,2,16,21,33,39,42,47,1
12th April 2019,2,20,21,30,31,39,45,18
5th April 2019,1,2,16,21,23,25,28,48
29th March 2019,10,12,19,22,25,32,42,39
22nd March 2019,1,3,20,21,27,28,44,43
15th March 2019,6,11,25,31,36,41,49,47
8th March 2019,2,9,16,17,21,22,32,38
1st March 2019,2,23,24,29,40,48,49,18
22nd February 2019,6,31,33,34,43,44,46,22
15th February 2019,1,2,32,37,38,39,45,16
8th February 2019,18,23,31,32,36,38,43,27
1st February 2019,2,6,13,19,21,32,40,12
25th January 2019,6,12,20,24,40,42,47,44
18th January 2019,3,19,22,30,32,37,40,20
11th January 2019,8,15,21,28,29,30,39,23
4th January 2019,7,22,25,26,35,41,45,3
28th December 2018,5,13,14,16,17,29,49,18
21st December 2018,7,21,23,25,31,34,45,37
14th December 2018,6,7,11,21,23,27,41,49
7th December 2018,2,9,15,23,26,30,41,13
30th November 2018,5,8,15,20,25,26,47,22
23rd November 2018,1,7,13,14,22,42,48,47
16th November 2018,11,17,24,34,41,42,48,21
9th November 2018,2,12,31,34,39,48,49,1
2nd November 2018,9,10,16,23,24,39,49,7
26th October 2018,2,3,4,8,9,20,30,45
19th October 2018,10,15,16,17,19,27,38,9
12th October 2018,18,31,38,45,46,47,48,16
5th October 2018,8,9,12,20,22,27,30,28
21st September 2018,3,9,15,16,19,45,48,42
14th September 2018,1,3,5,10,16,27,43,14
7th September 2018,3,12,21,34,37,38,41,22
31st August 2018,2,4,18,19,20,39,44,11
24th August 2018,3,5,7,11,13,20,29,30
17th August 2018,12,17,22,27,28,29,35,43
10th August 2018,2,9,18,33,36,40,49,38
3rd August 2018,9,11,23,33,35,36,42,6
27th July 2018,8,11,14,17,26,30,36,48
20th July 2018,6,8,12,19,20,25,49,18
13th July 2018,1,4,5,22,25,32,34,27
6th July 2018,1,11,20,32,41,42,44,47
29th June 2018,3,5,17,23,28,43,46,29
22nd June 2018,3,10,16,28,31,38,47,20
15th June 2018,18,23,28,37,44,45,47,9
8th June 2018,12,25,27,29,34,44,45,7
1st June 2018,2,11,17,18,22,25,39,3
25th May 2018,7,10,13,19,24,31,41,1
18th May 2018,4,13,23,30,31,37,43,32
11th May 2018,11,22,28,33,39,43,47,23
4th May 2018,1,11,15,16,20,29,39,32
27th April 2018,8,9,11,17,37,39,41,19
20th April 2018,6,14,16,22,30,42,45,35
13th April 2018,1,8,9,22,29,30,32,17
6th April 2018,7,18,29,30,41,45,46,40
30th March 2018,1,12,18,19,21,24,41,15
23rd March 2018,7,12,15,23,35,43,49,19
16th March 2018,13,24,29,31,35,36,42,37
9th March 2018,13,18,20,26,32,35,47,12
2nd March 2018,7,25,26,28,32,36,37,2
23rd February 2018,13,17,24,32,33,44,45,48
16th February 2018,5,14,22,23,35,40,49,43
9th February 2018,6,19,24,25,36,37,39,17
2nd February 2018,3,8,9,24,28,31,44,32
26th January 2018,7,8,13,19,23,32,40,9
19th January 2018,9,18,25,30,39,40,43,5
12th January 2018,1,8,16,19,26,34,41,10
5th January 2018,1,3,13,15,28,36,49,14
29th December 2017,22,23,26,35,37,39,47,14
22nd December 2017,13,16,19,21,24,26,30,36
15th December 2017,8,14,17,27,28,30,48,37
8th December 2017,1,17,31,33,39,46,49,42
1st December 2017,26,28,33,38,42,43,47,16
24th November 2017,5,11,20,22,35,38,46,45
17th November 2017,3,15,22,23,33,47,49,6
10th November 2017,5,12,18,26,29,31,37,40
3rd November 2017,16,17,18,20,40,42,43,15
27th October 2017,1,14,15,16,24,39,49,5
20th October 2017,1,4,12,27,35,38,46,8
13th October 2017,8,14,16,17,18,34,41,43
6th October 2017,10,17,25,27,29,34,38,48
29th September 2017,1,6,14,23,38,40,47,25
22nd September 2017,2,10,37,38,39,43,47,28
15th September 2017,15,20,24,30,39,44,46,22
8th September 2017,1,2,15,16,22,29,41,27
1st September 2017,1,7,18,28,31,39,48,35
25th August 2017,18,19,23,34,39,43,46,1
18th August 2017,2,9,13,16,25,26,45,19
11th August 2017,13,14,19,26,27,36,37,18
4th August 2017,1,4,11,17,27,36,37,47
28th July 2017,9,12,16,24,33,45,47,14
21st July 2017,2,11,12,25,33,39,44,8
14th July 2017,2,4,11,17,26,41,42,44
7th July 2017,4,8,13,16,26,33,38,10
30th June 2017,7,24,26,36,37,43,44,3
23rd June 2017,2,3,6,22,24,42,46,27
16th June 2017,1,5,20,33,34,41,42,15
9th June 2017,7,11,20,21,22,37,47,38
2nd June 2017,11,12,25,28,33,41,43,36
26th May 2017,14,16,18,21,38,44,49,15
19th May 2017,8,11,18,25,34,35,38,44
12th May 2017,11,25,26,28,38,44,45,20
5th May 2017,11,14,20,22,26,35,43,33
28th April 2017,10,14,22,36,38,44,45,11
21st April 2017,3,4,13,16,35,47,49,37
14th April 2017,23,25,29,30,42,44,45,20
7th April 2017,8,12,14,34,37,44,48,45
31st March 2017,1,2,12,15,22,25,41,34
24th March 2017,16,19,21,32,37,39,45,26
17th March 2017,2,5,6,7,8,33,45,15
10th March 2017,1,11,15,20,36,41,47,33
3rd March 2017,3,7,20,25,29,31,44,27
24th February 2017,1,17,19,23,28,29,47,10
17th February 2017,5,9,14,24,33,37,46,38
10th February 2017,11,16,19,22,24,38,41,48
3rd February 2017,8,19,24,28,34,42,48,17
27th January 2017,1,3,8,22,29,38,47,11
20th January 2017,4,10,21,28,29,37,45,20
13th January 2017,2,8,24,30,31,38,40,42
6th January 2017,10,13,18,19,38,47,48,42
30th December 2016,5,10,14,19,31,33,47,27
23rd December 2016,1,5,11,26,28,30,41,49
16th December 2016,2,9,27,32,38,39,43,45
9th December 2016,11,17,24,26,34,35,39,16
2nd December 2016,5,8,20,21,29,40,47,7
25th November 2016,2,11,20,22,31,35,47,39
18th November 2016,7,10,21,24,38,40,49,3
11th November 2016,8,14,18,20,24,39,46,23
4th November 2016,4,23,29,36,39,44,46,24
28th October 2016,3,5,19,29,33,34,44,41
21st October 2016,33,34,36,42,44,45,47,14
14th October 2016,14,18,22,25,36,39,44,34
7th October 2016,8,9,12,24,29,36,37,17
30th September 2016,4,12,17,21,32,38,42,46
23rd September 2016,3,13,24,36,39,44,45,19
16th September 2016,7,12,14,15,27,34,44,6
9th September 2016,4,10,11,27,29,32,41,42
2nd September 2016,1,12,15,22,25,45,48,16
26th August 2016,3,10,17,19,26,27,42,46
19th August 2016,19,22,25,32,37,45,47,40
12th August 2016,5,7,15,18,19,27,28,25
5th August 2016,4,6,10,20,40,46,47,39
29th July 2016,11,15,25,26,39,47,49,30
22nd July 2016,9,26,28,32,37,40,45,46
15th July 2016,19,30,31,36,40,44,49,6
8th July 2016,1,8,16,25,30,42,48,28
1st July 2016,10,12,14,28,36,39,45,26
24th June 2016,2,17,22,24,26,42,48,6
17th June 2016,1,16,20,29,33,44,46,15
10th June 2016,5,11,15,26,27,33,39,46
3rd June 2016,12,21,28,37,40,43,47,11
27th May 2016,1,14,16,20,26,32,34,18
20th May 2016,16,17,19,22,31,47,49,1
13th May 2016,3,6,8,17,21,28,34,2
6th May 2016,1,8,10,24,26,37,45,47
29th April 2016,11,21,22,24,26,36,43,10
22nd April 2016,13,16,20,35,37,43,49,6
15th April 2016,1,9,17,19,25,27,38,44
8th April 2016,9,12,13,14,28,39,41,38
1st April 2016,5,6,27,28,31,41,45,12
25th March 2016,1,6,15,32,42,45,46,44
18th March 2016,6,8,15,24,26,39,44,40
11th March 2016,9,17,27,30,31,34,42,21
4th March 2016,4,14,24,41,42,44,48,26
26th February 2016,6,9,22,23,36,38,47,12
19th February 2016,2,11,20,22,33,40,43,4
12th February 2016,19,20,26,31,34,39,48,18
5th February 2016,6,7,8,9,17,23,30,18
29th January 2016,5,11,14,17,28,41,47,46
22nd January 2016,20,21,22,34,42,43,45,1
15th January 2016,7,26,27,31,32,33,42,45
8th January 2016,13,15,21,24,25,36,48,10
1st January 2016,6,10,13,14,25,41,46,8
25th December 2015,5,8,9,12,22,39,45,38
18th December 2015,6,20,28,29,30,31,46,45
11th December 2015,7,12,28,34,45,46,48,49
4th December 2015,8,15,24,25,27,36,43,32
27th November 2015,4,8,9,20,23,45,46,31
20th November 2015,12,21,28,34,36,45,48,26
13th November 2015,7,11,19,38,40,41,42,49
6th November 2015,1,10,12,20,29,35,47,4
30th October 2015,2,11,19,38,43,45,49,9
23rd October 2015,2,7,12,28,29,38,48,27
16th October 2015,9,14,19,21,31,32,40,16
9th October 2015,8,11,14,23,26,42,47,1
2nd October 2015,10,12,24,26,34,43,47,38
25th September 2015,1,7,15,18,21,30,45,22
18th September 2015,13,16,17,21,35,40,46,18
11th September 2015,21,22,27,30,39,42,44,8
4th September 2015,7,8,15,19,36,37,41,43
28th August 2015,2,4,5,17,29,39,41,48
21st August 2015,3,13,15,22,33,41,49,11
14th August 2015,1,15,17,25,34,40,41,38
7th August 2015,5,13,20,37,39,40,41,28
31st July 2015,2,5,27,32,35,42,46,48
24th July 2015,2,4,11,19,28,29,38,42
17th July 2015,23,24,29,36,42,43,49,38
10th July 2015,12,14,23,25,31,38,40,36
3rd July 2015,1,6,30,40,46,47,49,37
26th June 2015,2,4,16,23,30,32,46,38
19th June 2015,7,14,15,16,21,30,41,17
12th June 2015,4,7,11,19,34,38,48,45
5th June 2015,2,10,13,16,30,33,48,44
29th May 2015,1,30,38,39,44,45,47,43
22nd May 2015,1,4,21,24,29,30,46,25
15th May 2015,16,23,24,25,40,46,47,17
8th May 2015,1,7,17,27,32,44,48,18
1st May 2015,6,18,20,37,40,44,46,49
24th April 2015,3,37,38,40,42,43,46,12
17th April 2015,7,11,14,15,19,30,41,22
10th April 2015,7,8,16,18,24,25,46,37
3rd April 2015,10,11,23,28,32,34,41,29
27th March 2015,3,7,15,23,29,31,45,46
20th March 2015,7,10,16,35,36,42,45,24
13th March 2015,2,8,10,15,17,20,24,14
6th March 2015,2,8,9,10,24,26,41,37
27th February 2015,4,12,16,27,37,39,44,32
20th February 2015,26,34,38,41,46,48,49,10
13th February 2015,6,9,18,22,25,32,44,46
6th February 2015,1,5,7,13,14,33,46,47
30th January 2015,10,15,21,28,32,36,37,9
23rd January 2015,1,14,15,18,26,42,48,39
16th January 2015,6,29,30,31,36,42,45,32
9th January 2015,3,7,12,18,31,33,35,26
2nd January 2015,8,9,14,19,28,31,46,48
26th December 2014,15,20,29,39,40,43,46,12
19th December 2014,3,6,13,17,22,25,43,47
12th December 2014,2,14,30,34,38,47,48,16
5th December 2014,10,14,15,16,42,45,48,49
28th November 2014,3,4,7,12,17,26,34,1
21st November 2014,6,18,19,26,37,39,47,21
14th November 2014,2,5,7,13,15,30,38,27
7th November 2014,1,3,6,8,14,20,30,28
31st October 2014,3,12,25,30,42,44,45,26
24th October 2014,8,27,30,32,34,35,42,17
17th October 2014,18,19,32,36,38,40,43,1
10th October 2014,5,13,18,28,31,38,44,46
3rd October 2014,7,15,24,25,27,43,47,22
26th September 2014,2,3,5,18,37,38,46,33
19th September 2014,4,7,8,10,16,20,36,27
12th September 2014,5,6,8,13,24,37,46,30
5th September 2014,3,8,11,20,28,36,38,26
29th August 2014,1,23,26,33,35,38,42,18
22nd August 2014,13,16,22,26,35,36,39,44
15th August 2014,9,16,17,27,32,38,47,37
8th August 2014,6,9,16,19,20,24,30,31
1st August 2014,1,2,5,10,11,25,34,36
25th July 2014,7,9,24,30,35,42,43,36
18th July 2014,1,3,16,33,34,40,42,2
11th July 2014,1,6,10,16,18,21,31,5
4th July 2014,5,10,11,20,26,38,46,44
27th June 2014,4,6,7,16,18,40,46,34
20th June 2014,12,17,32,36,43,44,49,4
13th June 2014,12,16,24,29,36,40,47,44
6th June 2014,3,5,17,30,36,47,49,31
30th May 2014,2,5,10,11,23,25,31,46
23rd May 2014,3,11,16,24,31,39,43,2
16th May 2014,12,13,16,30,32,35,37,7
9th May 2014,5,7,29,35,39,41,49,14
2nd May 2014,6,15,18,19,25,44,46,28
25th April 2014,3,9,24,25,28,36,40,48
18th April 2014,9,16,24,30,39,40,45,14
11th April 2014,1,3,14,33,35,39,45,28
4th April 2014,19,30,33,34,36,41,48,11
28th March 2014,8,15,16,21,31,37,39,20
21st March 2014,1,2,4,21,23,35,40,5
14th March 2014,3,4,5,7,31,33,40,49
7th March 2014,1,6,7,16,22,31,33,25
28th February 2014,4,7,20,22,26,28,29,47
21st February 2014,1,10,16,23,29,35,39,46
14th February 2014,6,8,11,16,17,19,24,29
7th February 2014,13,19,37,38,40,43,48,46
31st January 2014,6,10,16,27,38,40,45,39
24th January 2014,7,10,15,23,30,36,44,45
17th January 2014,4,9,18,32,35,38,40,12
10th January 2014,12,28,31,38,40,41,45,15
3rd January 2014,7,16,31,35,39,44,48,42
27th December 2013,1,6,9,11,17,37,39,32
20th December 2013,2,13,18,24,27,37,43,14
13th December 2013,6,16,24,32,36,45,47,25
6th December 2013,3,4,11,18,37,42,44,47
29th November 2013,3,6,19,31,34,42,45,30
22nd November 2013,2,24,35,38,39,41,48,20
15th November 2013,1,3,10,15,25,28,31,7
8th November 2013,7,8,10,15,24,26,41,12
1st November 2013,11,12,16,22,30,32,49,35
25th October 2013,13,16,24,29,33,40,49,28
18th October 2013,10,26,28,33,34,35,40,12
11th October 2013,7,8,9,16,21,28,48,29
4th October 2013,12,16,19,20,28,34,42,9
27th September 2013,10,11,18,24,26,42,47,45
20th September 2013,2,14,15,24,40,43,44,45
13th September 2013,2,6,12,15,16,22,49,46
6th September 2013,1,7,23,36,37,39,41,33
30th August 2013,6,19,20,25,31,35,36,45
23rd August 2013,5,6,10,17,22,36,48,3
16th August 2013,2,6,20,22,30,34,49,45
9th August 2013,6,15,19,26,43,44,49,30
2nd August 2013,2,9,23,29,30,34,43,40
26th July 2013,5,9,12,18,24,35,42,17
19th July 2013,3,17,19,20,34,35,43,4
12th July 2013,14,16,17,36,45,46,48,7
5th July 2013,5,12,15,39,44,46,49,18
28th June 2013,2,7,15,38,43,44,47,1
21st June 2013,2,9,12,13,27,28,36,20
14th June 2013,2,12,15,18,21,22,25,5
7th June 2013,5,19,24,34,35,38,43,8
31st May 2013,5,7,10,15,22,45,47,23
24th May 2013,9,19,21,24,39,43,48,6
17th May 2013,8,18,21,27,33,46,49,26
10th May 2013,3,10,19,21,27,35,36,49
3rd May 2013,4,6,21,26,30,34,35,39
26th April 2013,10,13,15,18,25,36,47,40
19th April 2013,2,3,8,20,28,31,34,42
12th April 2013,3,6,37,40,42,44,48,18
5th April 2013,2,14,15,17,24,38,40,31
29th March 2013,8,11,12,13,22,33,47,7
22nd March 2013,7,12,16,19,21,24,47,34
15th March 2013,9,16,17,19,22,41,43,12
8th March 2013,9,15,17,28,35,39,41,36
1st March 2013,1,2,5,6,38,39,46,33
22nd February 2013,5,12,24,31,39,45,49,35
15th February 2013,14,23,24,25,28,41,45,37
8th February 2013,3,8,13,30,38,45,47,10
1st February 2013,5,9,10,32,37,44,46,38
25th January 2013,1,18,19,29,31,32,46,36
18th January 2013,8,16,17,28,32,34,47,19
11th January 2013,2,25,26,37,39,48,49,40
4th January 2013,3,6,16,23,27,28,34,22
28th December 2012,1,9,25,28,32,41,48,12
